Country,Code,Year,Sex,Age,Deaths,Source
Albania,ALB,2015,f,0,122.99999999999999,eurs
Albania,ALB,2015,f,5,24,eurs
Albania,ALB,2015,f,10,29.999999999999996,eurs
Albania,ALB,2015,f,15,40,eurs
Albania,ALB,2015,f,20,30.000000000000004,eurs
Albania,ALB,2015,f,25,42,eurs
Albania,ALB,2015,f,30,44.00000000000001,eurs
Albania,ALB,2015,f,35,58,eurs
Albania,ALB,2015,f,40,98.00000000000001,eurs
Albania,ALB,2015,f,45,151.99999999999997,eurs
Albania,ALB,2015,f,50,237,eurs
Albania,ALB,2015,f,55,297,eurs
Albania,ALB,2015,f,60,417.9999999999999,eurs
Albania,ALB,2015,f,65,606.0000000000001,eurs
Albania,ALB,2015,f,70,1145,eurs
Albania,ALB,2015,f,75,1729.0000000000005,eurs
Albania,ALB,2015,f,80,2151,eurs
Albania,ALB,2015,f,85,1748,eurs
Albania,ALB,2015,f,90,1695,eurs
Albania,ALB,2015,m,0,174,eurs
Albania,ALB,2015,m,5,16,eurs
Albania,ALB,2015,m,10,18.999999999999996,eurs
Albania,ALB,2015,m,15,76,eurs
Albania,ALB,2015,m,20,92,eurs
Albania,ALB,2015,m,25,89,eurs
Albania,ALB,2015,m,30,81,eurs
Albania,ALB,2015,m,35,102.00000000000001,eurs
Albania,ALB,2015,m,40,176,eurs
Albania,ALB,2015,m,45,271.99999999999994,eurs
Albania,ALB,2015,m,50,481,eurs
Albania,ALB,2015,m,55,681,eurs
Albania,ALB,2015,m,60,856.0000000000001,eurs
Albania,ALB,2015,m,65,1030.0000000000002,eurs
Albania,ALB,2015,m,70,1558.0000000000002,eurs
Albania,ALB,2015,m,75,2089,eurs
Albania,ALB,2015,m,80,2071,eurs
Albania,ALB,2015,m,85,1341,eurs
Albania,ALB,2015,m,90,722,eurs
Albania,ALB,2015,t,0,297,eurs
Albania,ALB,2015,t,5,40,eurs
Albania,ALB,2015,t,10,48.99999999999999,eurs
Albania,ALB,2015,t,15,116,eurs
Albania,ALB,2015,t,20,122.00000000000001,eurs
Albania,ALB,2015,t,25,131,eurs
Albania,ALB,2015,t,30,125,eurs
Albania,ALB,2015,t,35,160,eurs
Albania,ALB,2015,t,40,274,eurs
Albania,ALB,2015,t,45,423.99999999999994,eurs
Albania,ALB,2015,t,50,718,eurs
Albania,ALB,2015,t,55,978,eurs
Albania,ALB,2015,t,60,1274,eurs
Albania,ALB,2015,t,65,1636.0000000000002,eurs
Albania,ALB,2015,t,70,2703,eurs
Albania,ALB,2015,t,75,3818.0000000000005,eurs
Albania,ALB,2015,t,80,4222,eurs
Albania,ALB,2015,t,85,3089,eurs
Albania,ALB,2015,t,90,2417,eurs
Albania,ALB,2016,f,0,156,eurs
Albania,ALB,2016,f,5,12,eurs
Albania,ALB,2016,f,10,20.999999999999996,eurs
Albania,ALB,2016,f,15,40.99999999999999,eurs
Albania,ALB,2016,f,20,31,eurs
Albania,ALB,2016,f,25,40,eurs
Albania,ALB,2016,f,30,39,eurs
Albania,ALB,2016,f,35,62,eurs
Albania,ALB,2016,f,40,81,eurs
Albania,ALB,2016,f,45,142,eurs
Albania,ALB,2016,f,50,195.99999999999997,eurs
Albania,ALB,2016,f,55,312,eurs
Albania,ALB,2016,f,60,451,eurs
Albania,ALB,2016,f,65,575,eurs
Albania,ALB,2016,f,70,912,eurs
Albania,ALB,2016,f,75,1652.0000000000005,eurs
Albania,ALB,2016,f,80,1940,eurs
Albania,ALB,2016,f,85,1788.9999999999995,eurs
Albania,ALB,2016,f,90,1611,eurs
Albania,ALB,2016,m,0,167,eurs
Albania,ALB,2016,m,5,17,eurs
Albania,ALB,2016,m,10,25,eurs
Albania,ALB,2016,m,15,44.00000000000001,eurs
Albania,ALB,2016,m,20,56.00000000000001,eurs
Albania,ALB,2016,m,25,79,eurs
Albania,ALB,2016,m,30,76,eurs
Albania,ALB,2016,m,35,114,eurs
Albania,ALB,2016,m,40,145,eurs
Albania,ALB,2016,m,45,252,eurs
Albania,ALB,2016,m,50,410,eurs
Albania,ALB,2016,m,55,654,eurs
Albania,ALB,2016,m,60,803,eurs
Albania,ALB,2016,m,65,1028.0000000000002,eurs
Albania,ALB,2016,m,70,1338,eurs
Albania,ALB,2016,m,75,2008.0000000000002,eurs
Albania,ALB,2016,m,80,2098,eurs
Albania,ALB,2016,m,85,1332,eurs
Albania,ALB,2016,m,90,608,eurs
Albania,ALB,2016,t,0,323,eurs
Albania,ALB,2016,t,5,29,eurs
Albania,ALB,2016,t,10,46,eurs
Albania,ALB,2016,t,15,85,eurs
Albania,ALB,2016,t,20,87,eurs
Albania,ALB,2016,t,25,119,eurs
Albania,ALB,2016,t,30,115,eurs
Albania,ALB,2016,t,35,176,eurs
Albania,ALB,2016,t,40,226,eurs
Albania,ALB,2016,t,45,394,eurs
Albania,ALB,2016,t,50,606,eurs
Albania,ALB,2016,t,55,966,eurs
Albania,ALB,2016,t,60,1254,eurs
Albania,ALB,2016,t,65,1603.0000000000002,eurs
Albania,ALB,2016,t,70,2250,eurs
Albania,ALB,2016,t,75,3660.0000000000005,eurs
Albania,ALB,2016,t,80,4038,eurs
Albania,ALB,2016,t,85,3121,eurs
Albania,ALB,2016,t,90,2219,eurs
Albania,ALB,2017,f,0,134,eurs
Albania,ALB,2017,f,5,12.999999999999998,eurs
Albania,ALB,2017,f,10,19,eurs
Albania,ALB,2017,f,15,28,eurs
Albania,ALB,2017,f,20,41,eurs
Albania,ALB,2017,f,25,25.999999999999996,eurs
Albania,ALB,2017,f,30,31,eurs
Albania,ALB,2017,f,35,54,eurs
Albania,ALB,2017,f,40,80,eurs
Albania,ALB,2017,f,45,139,eurs
Albania,ALB,2017,f,50,216.99999999999997,eurs
Albania,ALB,2017,f,55,302,eurs
Albania,ALB,2017,f,60,451,eurs
Albania,ALB,2017,f,65,620,eurs
Albania,ALB,2017,f,70,917,eurs
Albania,ALB,2017,f,75,1740,eurs
Albania,ALB,2017,f,80,2169,eurs
Albania,ALB,2017,f,85,1932.0000000000002,eurs
Albania,ALB,2017,f,90,1665,eurs
Albania,ALB,2017,m,0,150,eurs
Albania,ALB,2017,m,5,16,eurs
Albania,ALB,2017,m,10,25.999999999999996,eurs
Albania,ALB,2017,m,15,48,eurs
Albania,ALB,2017,m,20,67,eurs
Albania,ALB,2017,m,25,78,eurs
Albania,ALB,2017,m,30,81,eurs
Albania,ALB,2017,m,35,110,eurs
Albania,ALB,2017,m,40,138,eurs
